dt,u_L2,u_H1,v_L2,q_uL2,q_uH1,q_vL2
0.200000,6.0652838905e-05,2.5142731801e-02,1.7272426828e-03,nan,nan,nan
0.150000,2.1427508443e-02,1.0028887172e-01,1.3745667534e-02,-2.0394960049e+01,-4.8090792253e+00,-7.2100334800e+00
0.100000,1.3110008401e-04,2.5135543940e-02,1.0130777652e-04,1.2569441077e+01,3.4128011846e+00,1.2110328833e+01
0.075000,2.1473503391e-02,1.0049170258e-01,1.2736571023e-02,-1.7723085692e+01,-4.8170962244e+00,-1.6803513426e+01
0.050000,1.5496570224e-04,2.5135942520e-02,4.1901184520e-04,1.2162257956e+01,3.4177450543e+00,8.4207826629e+00
0.025000,1.6054208321e-04,2.5136109040e-02,5.2626231894e-04,-5.1002576847e-02,-9.5575460601e-06,-3.2879107112e-01
0.010000,1.6208678715e-04,2.5136158100e-02,5.5626139619e-04,-1.0450619749e-02,-2.1300740720e-06,-6.0503206288e-02
0.005000,1.6231543136e-04,2.5136164507e-02,5.6053295116e-04,-2.0336724047e-03,-3.6770850899e-07,-1.1036197028e-02
