dt,u_L2,u_H1,v_L2,q_uL2,q_uH1,q_vL2
0.200000,3.8151588589e-03,3.0851584176e-02,1.8445309719e-02,nan,nan,nan
0.150000,1.8010900386e-02,8.5312146880e-02,2.1439469781e-03,-5.3948264274e+00,-3.5356000379e+00,7.4810418025e+00
0.100000,2.3601672209e-03,2.7542448795e-02,8.9846812078e-03,5.0121320876e+00,2.7883741819e+00,-3.5338984734e+00
0.075000,1.9415644786e-02,9.1446159662e-02,7.8225155499e-03,-7.3252625113e+00,-4.1713477756e+00,4.8148587619e-01
0.050000,1.2877321419e-03,2.5930550516e-02,4.7538285948e-03,6.6915660002e+00,3.1083526664e+00,1.2283569192e+00
0.025000,6.2543823594e-04,2.5357346996e-02,2.6861700624e-03,1.0418932074e+00,3.2249023646e-02,8.2353924084e-01
0.010000,1.8651300396e-04,2.5169507689e-02,1.4238457492e-03,1.3204887668e+00,8.1145215280e-03,6.9274402048e-01
0.005000,6.9618453630e-05,2.5142441202e-02,9.9515946739e-04,1.4217345465e+00,1.5522630567e-03,5.1679323083e-01
