dt,u_L2,u_H1,v_L2,q_uL2,q_uH1,q_vL2
0.200000,6.1491106619e-02,9.7830697738e+00,8.2520957764e+01,nan,nan,nan
0.150000,2.0604864586e+01,4.7320754509e+03,2.4533581396e+04,-2.0211165283e+01,-2.1487143080e+01,-1.9795275333e+01
0.100000,1.0122995832e+05,3.0527087889e+07,1.0571304271e+07,-2.0962649215e+01,-2.1634428289e+01,-1.4960240710e+01
0.075000,1.7152026188e+09,5.9024385678e+11,3.5719919992e+11,-3.3848640445e+01,-3.4307583180e+01,-3.6248020648e+01
0.050000,8.6399435443e+13,3.0908517664e+16,6.4174797608e+16,-2.6703173677e+01,-2.6798869671e+01,-2.9839380208e+01
0.025000,1.0714981259e+27,3.9450183526e+29,1.0490319591e+30,-4.3495600770e+01,-4.3537092779e+01,-4.3894045118e+01
0.010000,7.4054674501e+46,2.7866556215e+49,3.9414835805e+49,-4.9855658213e+01,-4.9879463841e+01,-4.9190507553e+01
0.005000,5.1291768093e+53,1.9375473270e+56,9.1503029581e+55,-2.2723633163e+01,-2.2729193491e+01,-2.1146649315e+01
