time_step,time,energy,power,dE_dt,residual,work,energy_balance,eL2_u,eH1_u,eL2_v
52,0.052,22.9752,-232.088,-232.275,-0.186339,-7.86631,-0.000485271,6.18081e-05,0.0150159,0.000900077
53,0.053,22.7434,-231.515,-231.816,-0.30083,-8.09811,-0.000499571,6.2626e-05,0.0152351,0.000863763
54,0.054,22.5123,-230.714,-231.129,-0.415025,-8.32923,-0.000513829,6.34051e-05,0.0154507,0.000829982
55,0.055,22.2821,-229.685,-230.213,-0.528809,-8.55943,-0.000528029,6.41512e-05,0.0156626,0.000799293
56,0.056,22.053,-228.429,-229.071,-0.642072,-8.78848,-0.00054216,6.48702e-05,0.0158708,0.000772678
57,0.057,21.8253,-226.947,-227.702,-0.754701,-9.01617,-0.000556206,6.55687e-05,0.0160751,0.00075145
58,0.058,21.5992,-225.242,-226.109,-0.866585,-9.24227,-0.000570154,6.62527e-05,0.0162754,0.00073696
59,0.059,21.3749,-223.315,-224.292,-0.977614,-9.46654,-0.00058399,6.69282e-05,0.0164717,0.000730154
60,0.06,21.1526,-221.167,-222.254,-1.08768,-9.68878,-0.0005977,6.76004e-05,0.0166638,0.000731129
61,0.061,20.9326,-218.8,-219.997,-1.19667,-9.90877,-0.00061127,6.82735e-05,0.0168517,0.000738884
62,0.062,20.7151,-216.218,-217.523,-1.30448,-10.1263,-0.000624688,6.89509e-05,0.0170353,0.000751375
63,0.063,20.5003,-213.423,-214.834,-1.411,-10.3411,-0.000637941,6.96344e-05,0.0172147,0.000765875
64,0.064,20.2883,-210.417,-211.933,-1.51613,-10.553,-0.000651014,7.03249e-05,0.0173898,0.000779466
65,0.065,20.0795,-207.203,-208.823,-1.61976,-10.7618,-0.000663895,7.10215e-05,0.0175608,0.000789499
66,0.066,19.874,-203.785,-205.507,-1.7218,-10.9673,-0.000676572,7.17223e-05,0.0177275,0.000793936
67,0.067,19.672,-200.165,-201.988,-1.82213,-11.1693,-0.000689032,7.2424e-05,0.01789,0.000791547
68,0.068,19.4738,-196.349,-198.269,-1.92067,-11.3676,-0.000701262,7.31225e-05,0.0180483,0.000781983
69,0.069,19.2794,-192.338,-194.355,-2.01731,-11.5619,-0.000713251,7.38129e-05,0.0182022,0.000765756
70,0.07,19.0892,-188.137,-190.249,-2.11197,-11.7521,-0.000724986,7.44899e-05,0.0183517,0.000744152
71,0.071,18.9032,-183.751,-185.956,-2.20453,-11.9381,-0.000736457,7.51482e-05,0.0184966,0.000719045
72,0.072,18.7217,-179.184,-181.479,-2.29492,-12.1195,-0.000747651,7.57831e-05,0.0186369,0.000692626
73,0.073,18.5449,-174.44,-176.823,-2.38305,-12.2964,-0.000758559,7.63901e-05,0.0187724,0.000667013
74,0.074,18.3729,-169.523,-171.992,-2.46883,-12.4683,-0.000769169,7.6966e-05,0.0189031,0.000643834
75,0.075,18.2059,-164.439,-166.992,-2.55217,-12.6353,-0.000779473,7.75083e-05,0.0190289,0.000623769
76,0.076,18.0441,-159.193,-161.826,-2.63298,-12.7971,-0.000789457,7.80158e-05,0.01915,0.000606391
